Schulnummer;Schultyp;Name;Strasse;PLZ;Ort;Homepage;Link
"8748";"Grund- u. Mittelschule";"Erhard-Vöhlin-Mittelschule Illertissen  ";"Dietenheimer Str. 66";"89257";"Illertissen";"www.evms-illertissen.de";"/schule/8748.html"
"8749";"Grund- u. Mittelschule";"Grundschule am Sonnenhang Jedesheim  ";"Am Sonnenhang 3";"89257";"Illertissen";"www.grundschule-jedesheim.de";"/schule/8749.html"
"8773";"Grund- u. Mittelschule";"Grundschule am Lichtacker Tiefenbach  ";"Wilhelm-Busch-Ring 7";"89257";"Illertissen";"www.gstiefenbach.schule.neu-ulm.de";"/schule/8773.html"
"0325";"Gymnasium";"Nikolaus-Kopernikus-Gymnasium Weißenhorn  ";"Buchenweg 22";"89264";"Weißenhorn";"www.gymnasium-weissenhorn.de";"/schule/0325.html"
"0669";"Realschule";"Städtische Realschule Weißenhorn   ";"Herzog-Ludwig-Str. 7";"89264";"Weißenhorn";"www.realschule-weissenhorn.de";"/schule/0669.html"
"8346";"Berufsfachschule des Gesundheitswesens";"Berufsfachschule für Pflege Weißenhorn der Kreisspitalstiftung Weißenhorn ";"Adolf-Wolf-Straße 26";"89264";"Weißenhorn";" ";"/schule/8346.html"
"8547";"Grund- u. Mittelschule";"Private Montessori-Volksschule Weißenhorn (Grund- u. Hauptschule) des Vereins Fördergemeinschaft Montessorischule Weißenhorn e. V.";"Claretinerstr. 3";"89264";"Weißenhorn";"www.montessorischule-weissenhorn.de";"/schule/8547.html"
"8719";"Grund- u. Mittelschule";"Grundschule Weißenhorn-Nord   ";"Günzburger Str. 58";"89264";"Weißenhorn";" ";"/schule/8719.html"
"8777";"Grund- u. Mittelschule";"Grundschule Weißenhorn-Süd   ";"Reichenbacher Straße 26";"89264";"Weißenhorn";"www.gs-sued-weissenhorn.de";"/schule/8777.html"
"8778";"Grund- u. Mittelschule";"Mittelschule Weißenhorn   ";"Kolpingstraße 4";"89264";"Weißenhorn";"www.mittelschule-weissenhorn.de";"/schule/8778.html"
"0395";"Gymnasium";"Illertal-Gymnasium Vöhringen   ";"Zum Sportplatz 17";"89269";"Vöhringen";"www.illertal-gymnasium.de";"/schule/0395.html"
"0655";"Realschule";"Staatliche Realschule Vöhringen   ";"Herbststr. 1";"89269";"Vöhringen";"www.rs-voehringen.de";"/schule/0655.html"
"8746";"Grund- u. Mittelschule";"Grundschule Illerberg   ";"Neue Welt 8";"89269";"Vöhringen";"www.gs-illerberg.voehringen.de";"/schule/8746.html"
"8775";"Grund- u. Mittelschule";"Uli-Wieland-Grundschule Vöhringen  ";"Kirchplatz 4";"89269";"Vöhringen";" ";"/schule/8775.html"
"8776";"Grund- u. Mittelschule";"Uli-Wieland-Mittelschule Vöhringen  ";"Kirchplatz 4";"89269";"Vöhringen";"www.mittelschule.voehringen.de";"/schule/8776.html"
"8779";"Grund- u. Mittelschule";"Grundschule Vöhringen-Nord   ";"Falkenstr. 23";"89269";"Vöhringen";" ";"/schule/8779.html"
"8759";"Grund- u. Mittelschule";"Grundschule Oberelchingen   ";"Am Bildstöckle 1";"89275";"Elchingen";"www.grundschule-oberelchingen.de";"/schule/8759.html"
"8760";"Grund- u. Mittelschule";"Mittelschule Elchingen   ";"Am Bildstöckle 1";"89275";"Elchingen";"www.ms-elchingen.de";"/schule/8760.html"
"8772";"Grund- u. Mittelschule";"Grundschule Thalfingen   ";"Schulstr. 4";"89275";"Elchingen";"www.gs-thalfingen.de";"/schule/8772.html"
"8774";"Grund- u. Mittelschule";"Grundschule Unterelchingen   ";"Hauptstr. 69";"89275";"Elchingen";"www.grundschule-unterelchingen.de";"/schule/8774.html"
"8414";"Grund- u. Mittelschule";"Anton-Miller-Grundschule Nersingen-Straß  ";"Hoffeldweg 4";"89278";"Nersingen";"www.volksschule-strass.neu-ulm.de";"/schule/8414.html"
"8752";"Grund- u. Mittelschule";"Grundschule Nersingen   ";"Schwalbenstr. 4";"89278";"Nersingen";"www.gsnersingen.de";"/schule/8752.html"
